OBJECTNUMMER;Buurt_code;Buurt;Buurtcombinatie_code;Stadsdeel_code;Opp_m2
1;F81d;Calandlaan/Lelylaan;F81;F;1
2;F81e;Osdorp Zuidoost;F81;F;2
3;F82a;Osdorp Midden Noord;F82;F;1
4;F82b;Osdorp Midden Zuid;F82;F;2
5;F82c;Zuidwestkwadrant Osdorp Noord;F82;F;1
6;F82d;Zuidwestkwadrant Osdorp Zuid;F82;F;1
7;F83a;De Punt;F83;F;2
8;F83b;Bedrijvencentrum Osdorp;F83;F;1
9;F86a;Overtoomse Veld Noord;F86;F;2
10;F86c;Rembrandtpark Noord;F86;F;1
11;F86d;Rembrandtpark Zuid;F86;F;1
12;F86e;Johan Jongkindbuurt;F86;F;2
13;F86f;Lucas/Andreasziekenhuis e.o.;F86;F;3
14;F87a;Koningin Wilhelminaplein;F87;F;3
15;F87b;Andreasterrein;F87;F;1
16;F87c;Delflandpleinbuurt Oost;F87;F;1
17;F87d;Delflandpleinbuurt West;F87;F;2
18;F87e;Riekerhaven;F87;F;1
19;F87f;Schipluidenbuurt;F87;F;2
20;F88a;Riekerpolder;F88;F;1
21;F88b;Park Haagseweg;F88;F;1
22;F88e;Nieuw Sloten Noordwest;F88;F;2
23;F88f;Nieuw Sloten Noordoost;F88;F;3
24;F88g;Belgiëplein e.o.;F88;F;2
25;F88h;Nieuw Sloten Zuidwest;F88;F;3
26;F88i;Nieuw Sloten Zuidoost;F88;F;3
27;K24a;Hemonybuurt;K24;K;2
28;K24b;Gerard Doubuurt;K24;K;1
29;K24c;Frans Halsbuurt;K24;K;2
30;K24d;Hercules Seghersbuurt;K24;K;1
31;K24e;Sarphatiparkbuurt;K24;K;1
32;K25a;Willibrordusbuurt;K25;K;2
33;K25b;Van der Helstpleinbuurt;K25;K;1
34;K25c;Lizzy Ansinghbuurt;K25;K;2
35;K25d;Cornelis Troostbuurt;K25;K;1
36;K44a;Surinamepleinbuurt;K44;K;1
37;A00a;Kop Zeedijk;A00;A;2
38;A00e;BG-terrein e.o.;A00;A;1
39;A01a;Stationsplein e.o.;A01;A;2
40;A01b;Hemelrijk;A01;A;1
41;A01d;Spuistraat Noord;A01;A;1
42;A01e;Nieuwe Kerk e.o.;A01;A;2
43;A01f;Spuistraat Zuid;A01;A;1
44;A01h;Kalverdriehoek;A01;A;2
45;A02a;Langestraat e.o.;A02;A;1
46;A02b;Leliegracht e.o.;A02;A;1
47;A02c;Felix Meritisbuurt;A02;A;2
48;A02d;Leidsegracht Noord;A02;A;1
49;A03a;Spiegelbuurt;A03;A;2
50;A03b;Gouden Bocht;A03;A;1
51;A03c;Van Loonbuurt;A03;A;1
52;A03d;Amstelveldbuurt;A03;A;2
53;A03e;Rembrandtpleinbuurt;A03;A;1
54;A04b;Scheepvaarthuisbuurt;A04;A;2
55;A04c;Rapenburg;A04;A;1
56;A04d;Lastage;A04;A;1
57;A04f;Uilenburg;A04;A;2
58;A04g;Valkenburg;A04;A;1
59;A04h;Zuiderkerkbuurt;A04;A;2
60;A04i;Waterloopleinbuurt;A04;A;1
61;A05c;Haarlemmerbuurt West;A05;A;1
62;A05d;Westelijke eilanden;A05;A;2
63;A06a;Driehoekbuurt;A06;A;1
64;A06c;Bloemgrachtbuurt;A06;A;2
65;A06d;Marnixbuurt Noord;A06;A;1
66;A06f;Marnixbuurt Midden;A06;A;1
67;A06g;Elandsgrachtbuurt;A06;A;2
68;A06h;Passeerdersgrachtbuurt;A06;A;1
69;A06i;Groenmarktkadebuurt;A06;A;2
70;A06j;Marnixbuurt Zuid;A06;A;1
71;A07a;Leidsebuurt Noordwest;A07;A;1
72;A07b;Leidsebuurt Zuidwest;A07;A;2
73;A07c;Leidsebuurt Noordoost;A07;A;1
74;A07d;Leidsebuurt Zuidoost;A07;A;2
75;A07e;Weteringbuurt;A07;A;1
76;A07f;Den Texbuurt;A07;A;1
77;A07g;Utrechtsebuurt Zuid;A07;A;2
78;A07h;Frederikspleinbuurt;A07;A;1
79;A08a;Weesperbuurt;A08;A;2
80;A08b;Sarphatistrook;A08;A;1
81;A09b;Kattenburg;A09;A;1
82;A09c;Wittenburg;A09;A;2
83;E12b;Houthavens Oost;E12;E;1
84;E13a;Zeeheldenbuurt;E13;E;2
85;E13b;Spaarndammerbuurt Noordoost;E13;E;1
86;E13c;Spaarndammerbuurt Zuidoost;E13;E;1
87;E13d;Spaarndammerbuurt Zuidwest;E13;E;2
88;E13e;Spaarndammerbuurt Midden;E13;E;1
89;E13g;Westergasfabriek;E13;E;2
90;E14a;De Wittenbuurt Noord;E14;E;1
91;E14b;De Wittenbuurt Zuid;E14;E;1
92;E14c;Staatsliedenbuurt Noordoost;E14;E;2
93;E14d;Fannius Scholtenbuurt;E14;E;1
94;E14e;Westerstaatsman;E14;E;2
95;E14f;Buyskade e.o.;E14;E;1
96;E15a;Ecowijk;E15;E;1
97;E15b;Markthallen;E15;E;2
98;E16c;Frederik Hendrikbuurt Zuidwest;E16;E;1
99;E17a;Da Costabuurt Noord;E17;E;2
100;E18a;Bellamybuurt Noord;E18;E;1
101;E18b;Bellamybuurt Zuid;E18;E;1
102;E19a;Da Costabuurt Zuid;E19;E;2
103;E19b;Borgerbuurt;E19;E;1
104;E19c;Lootsbuurt;E19;E;2
105;E20a;Helmersbuurt Oost;E20;E;1
106;E20b;WG-terrein;E20;E;1
107;E20c;Cremerbuurt Oost;E20;E;2
108;E21a;Cremerbuurt West;E21;E;1
109;E21b;Vondelparkbuurt West;E21;E;2
110;E22a;Vondelparkbuurt Oost;E22;E;1
111;E22b;Vondelparkbuurt Midden;E22;E;1
112;E37a;Bedrijventerrein Landlust;E37;E;2
113;E37c;Bosleeuw;E37;E;1
114;E37d;Landlust Zuid;E37;E;2
115;E37e;Erasmusparkbuurt Oost;E37;E;1
116;E39c;Kolenkitbuurt Zuid;E39;E;1
117;E39d;Kolenkitbuurt Noord;E39;E;2
118;E41a;John Franklinbuurt;E41;E;1
119;E41b;Jan Maijenbuurt;E41;E;2
120;E41c;Orteliusbuurt Noord;E41;E;1
121;E41d;Mercatorpark;E41;E;1
