Buurt,Code,Buurt_cbs,Regioaanduiding|Codering,Aantal inwoners,Westers,Niet-westers,Marokko,Nederlandse Antillen en Aruba ,Suriname,Turkije,Overig,Huishoudens,Eenpersoonshuishoudens,Zonder kinderen,Met kinderen,Aantal Flyers,Bijstand ,AO,WW,AOW
Amsterdamse Bos,1,Amsterdamse Bos,BU03639004,65,15,10,0,0,0,0,5,30,15,15,10,26,0,0,0,10
Sloterweg e.o.,2,Sloterweg e.o.,BU03638803,265,45,65,5,5,15,15,30,115,40,35,45,98,0,10,0,50
Utrechtsebuurt Zuid,3,Utrechtsebuurt Zuid,BU03630706,1170,335,125,5,10,20,5,85,740,445,190,105,629,20,30,20,180
Westelijke eilanden,4,Westelijke eilanden,BU03630503,2925,725,455,55,20,70,20,295,1805,1100,380,320,1534,80,100,50,460
Leidsebuurt Zuidwest,5,Leidsebuurt Zuidwest,BU03630701,130,60,25,5,0,0,5,20,90,60,20,5,77,0,0,0,10
Science Park Zuid,6,Science Park Zuid,BU03635608,280,35,155,5,5,10,5,140,260,255,10,5,221,90,0,0,10
Den Texbuurt,7,Den Texbuurt,BU03630705,1080,335,125,5,10,15,10,90,610,335,145,125,519,20,20,10,170
Centrumeiland,8,Centrumeiland,BU03635006,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.
Park de Meer,9,Park de Meer,BU03635605,1610,255,410,95,15,100,40,165,725,265,200,270,616,50,80,30,220
Haveneiland Oost,10,Haveneiland Oost,BU03635101,6095,1030,2160,600,85,410,245,825,2215,615,340,1265,1883,140,230,90,170
Sportpark Voorland,11,Sportpark Voorland,BU03635606,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.
Steigereiland Noord,12,Steigereiland Noord,BU03633500,1570,315,570,185,15,150,45,180,690,230,180,275,587,40,40,30,60
Haveneiland Zuidwest/Rieteiland West,13,Haveneiland Zuidwest/Rieteiland West,BU03633502,2785,480,620,85,30,180,55,275,990,205,200,580,842,30,40,50,130
