Buurt_code,Buurt,Geflyerd
A00a,Kop Zeedijk,Nog niet
A00b,Oude Kerk e.o.,Nog niet
A00c,Burgwallen Oost,Nog niet
A00d,Nes e.o.,Nog niet
A00e,BG-terrein e.o.,Nog niet
A01a,Stationsplein e.o.,Gedaan
A01b,Hemelrijk,Nog niet
A01c,Nieuwendijk Noord,Nog niet
A01d,Spuistraat Noord,Nog niet
A01e,Nieuwe Kerk e.o.,Nog niet
A01f,Spuistraat Zuid,Nog niet
A01g,Begijnhofbuurt,Nog niet
A01h,Kalverdriehoek,Nog niet
A02a,Langestraat e.o.,Nog niet
A02b,Leliegracht e.o.,Nog niet
A02c,Felix Meritisbuurt,Nog niet
A02d,Leidsegracht Noord,Nog niet
A03a,Spiegelbuurt,Nog niet
A03b,Gouden Bocht,Nog niet
A03c,Van Loonbuurt,Nog niet
A03d,Amstelveldbuurt,Nog niet
A03e,Rembrandtpleinbuurt,Nog niet
A03f,Reguliersbuurt,Nog niet
A03g,Leidsegracht Zuid,Nog niet
A04a,Oosterdokseiland,Nog niet
A04b,Scheepvaarthuisbuurt,Nog niet
A04c,Rapenburg,Gedaan
A04d,Lastage,Gedaan
A04e,Nieuwmarkt,Gedaan
A04f,Uilenburg,Gedaan
A04g,Valkenburg,Gedaan
A04h,Zuiderkerkbuurt,Nog niet
A04i,Waterloopleinbuurt,Gedaan
A05a,Westerdokseiland,Gedaan
A05b,Haarlemmerbuurt Oost,Nog niet
A05c,Haarlemmerbuurt West,Gedaan
A05d,Westelijke eilanden,Gedaan
A05f,Planciusbuurt Noord,Gedaan
A05g,Planciusbuurt Zuid,Gedaan
A06a,Driehoekbuurt,Nog niet
A06c,Bloemgrachtbuurt,Nog niet
A06d,Marnixbuurt Noord,Nog niet
A06e,Zaagpoortbuurt,Nog niet
A06f,Marnixbuurt Midden,Nog niet
A06g,Elandsgrachtbuurt,Nog niet
A06h,Passeerdersgrachtbuurt,Nog niet
A06i,Groenmarktkadebuurt,Nog niet
A06j,Marnixbuurt Zuid,Nog niet
A06k,Anjeliersbuurt Noord,Gedaan
A06l,Anjeliersbuurt Zuid,Gedaan
A07a,Leidsebuurt Noordwest,Nog niet
A07b,Leidsebuurt Zuidwest,Nog niet
A07c,Leidsebuurt Noordoost,Nog niet
A07d,Leidsebuurt Zuidoost,Nog niet
A07e,Weteringbuurt,Nog niet
A07f,Den Texbuurt,Nog niet
A07g,Utrechtsebuurt Zuid,Nog niet
A07h,Frederikspleinbuurt,Nog niet
A08a,Weesperbuurt,Gedaan
A08b,Sarphatistrook,Gedaan
A08d,Plantage,Gedaan
A08e,Alexanderplein e.o.,Gedaan
A09a,Marine-Etablissement,Gedaan
A09b,Kattenburg,Gedaan
