gemeente;gemeente_id;bureau_id;bureau_label;bureau_zip_opgezocht;Lat;Long;total_counted;cast;percentage_gestemd;percentage_gestemd_95_100;percentage_gestemd_65_95;percentage_gestemd_tot_65;aantal_niet_gestemd;VVD;PvDA;PVV;SP;CDA;D66;CU;GL;SGP;PvdD;50PLUS;OndernemersPartij;VNL (VoorNederland);DENK;Forum voor Democratie;De Burger Beweging;Vrijzinnige Partij;GeenPeil;Piratenpartij;Libertarische Partij (LP);Lokaal in de Kamer;Artikel 1;grootste_partij_w;tweede_grootste_partij_w;derde_grootste_partij_w;grootste_partij;tweede_grootste_partij;derde_grootste_partij;INWONER;MAN;VROUW;INW_014;INW_1524;INW_2544;INW_4564;INW_65PL;P_NL_ACHTG;P_WE_MIG_A;P_NW_MIG_A;AANTAL_HH;TOTHH_EENP;TOTHH_MPZK;HH_EENOUD;HH_TWEEOUD;GEM_HH_GR;WONING;WONVOOR45;WON_4564;WON_6574;WON_7584;WON_8594;WON_9504;WON_0514;WON_1524;P_HUURWON;P_KOOPWON;WON_HCORP;WON_MRGEZ;WON_NBEW;WOZWONING;G_GAS_WON;G_ELEK_WON
Amsterdam;;;1  Stadhuis;1011PN;52,36764183;4,900331576;2865;1618;1;1;0;0;1;370;267;105;193;59;591;9;823;2;268;21;0;3;35;42;4;0;5;20;1;0;40;8;6;1;GL;D66;VVD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amsterdam;;;3  Universiteitsbibliotheek Amsterdam;1012WP;52,36740952;4,890839402;1295;706;1;1;0;0;3;230;78;32;43;33;347;24;344;2;99;1;0;2;11;21;1;0;1;3;0;0;20;6;8;1;D66;GL;VVD;55;30;20;5;;25;15;5;70;20;;35;20;10;;;1,5;50;35;;;10;;;;;50;50;10;50;15;434;1090;2230
Amsterdam;;;4  Leger des Heils;1012DB;52,37338607;4,899166192;693;1037;0,668273867;0;1;0;1;103;55;46;38;15;135;23;181;2;60;11;0;2;1;12;1;0;1;2;0;0;3;8;6;1;GL;D66;VVD;20;10;10;;;10;;;60;30;;10;5;;;;1,5;20;20;;;;;;;;;;;20;10;263;;1500
Amsterdam;;;5  De Keyzer;1018PR;52,36931386;4,928445849;1495;1289;1;1;0;0;0;168;148;73;99;28;295;27;380;1;102;14;2;4;69;14;3;2;1;9;1;0;51;8;6;1;GL;D66;VVD;50;25;30;10;15;20;;;60;20;30;30;20;;5;5;1,6;30;25;;;;;;;;80;20;10;30;;178;760;1460
Amsterdam;;;6  School De Witte Olifant;1011LX;52,37007067;4,903677945;1298;1122;1;1;0;0;3;149;142;55;82;24;260;6;389;2;128;13;1;4;8;18;1;0;0;6;0;1;8;8;6;1;GL;D66;VVD;10;;;;;;;;;;;5;;;;;1,3;;;;;;;;;;;;;;;;;
Amsterdam;;;7  Voormalige Stadstimmertuin;1018ET;52,36159826;4,905989676;910;1200;0,758333333;0;1;0;3;154;86;28;40;20;222;7;253;0;61;5;0;3;6;9;0;0;2;6;0;0;8;8;6;1;GL;D66;VVD;40;25;15;;5;15;15;;80;10;10;30;25;5;;;1,3;35;35;;;;;;;;100;;;35;;240;690;1450
Amsterdam;;;8  Gymlokaal;1018RA;52,37017089;4,930887279;1082;1049;1;1;0;0;3;122;133;49;71;16;226;12;290;2;116;10;1;1;1;8;0;1;0;10;0;1;11;8;6;2;GL;D66;PvDA;35;15;20;;5;10;15;;70;20;;25;15;;;;1,4;25;25;;;;;;;;;;;25;;229;1010;2260
Amsterdam;;;10  Burghtschool;1015BL;52,37853677;4,890959554;963;910;1;1;0;0;3;251;77;27;27;28;256;4;183;0;74;2;0;3;0;18;0;0;0;5;0;0;5;6;1;8;D66;VVD;GL;40;20;25;;5;15;10;10;70;30;;30;25;;;;1,3;25;25;;;;;;;;70;30;;25;;;1500;
Amsterdam;;;12  Theo Thijssenschool;1015NG;52,37695123;4,879854854;1441;1519;0,948650428;0;1;0;1;213;184;77;127;33;246;11;354;1;133;19;0;2;2;19;0;1;2;4;1;0;8;8;6;1;GL;D66;VVD;65;30;35;10;5;20;20;15;60;20;10;40;25;10;10;;1,6;40;25;;;5;;;;;70;30;25;35;;309;1040;2030
Amsterdam;;;13  Korfbalvereniging Swift;1018ST;52,36768215;4,909883439;1841;2436;0,755747126;0;1;0;2;286;244;66;79;35;404;32;475;5;140;26;0;2;4;16;0;1;2;8;1;0;11;8;6;1;GL;D66;VVD;55;30;25;5;15;5;15;15;80;10;;35;25;5;;;1,5;30;25;;;;10;;;;50;50;;30;5;492;1180;3350
